,YelpID,Name,Latitude,Longitude,Address,Rating,Reviews,name_lower,FacilityCategory,BusinessName,FullAddress,AddrNum,StreetName,StreetType,PostDir,City,ZipCode,YearOfInspection,InspectionScore,business_lower
251,b8lOfh4yvdegup2CBPBsJw,La Mesa,44.97485,-93.30674,"230 Cedar Lake Rd S, Minneapolis 55405",4.5,45,la mesa,RESTAURANT,LA MESA,230 CEDAR LAKE RD S,230.0,CEDAR LAKE,RD,S,Minneapolis,55405.0,2019,100,la mesa
252,DrFXRkJaI0YhKLCe0smZkA,Scott Ja-Mamas,44.903856,-93.2783187,"3 W Diamond Lake Rd, Minneapolis 55419",4.5,57,scott ja-mamas,RESTAURANT,SCOTT JA-MAMAS,3 DIAMOND LAKE RD W,3.0,DIAMOND LAKE,RD,W,Minneapolis,55419.0,2019,92,scott ja-mamas
253,SqGntSCwD3Q3PIVut_ZhDA,Popol Vuh,45.0027337,-93.2514153,"1414 Quincy St NE, Minneapolis 55413",4.5,40,popol vuh,RESTAURANT,POPOL VUH,1414 QUINCY ST NE,1414.0,QUINCY,ST,NE,Minneapolis,55413.0,2018,92,popol vuh
254,HBJdSsbf_GGFtt0D-rX4bg,Amore Uptown,44.94808,-93.30247,"1601 W Lake St, Minneapolis 55408",3.5,144,amore uptown,RESTAURANT,AMORE UPTOWN,1601 LAKE ST W,1601.0,LAKE,ST,W,Minneapolis,55408.0,2018,98,amore uptown
255,DZH-JCDOoZcf9G8n5KHpXA,Town Hall Lanes,44.911892,-93.222458,"5019 34th Ave S, Minneapolis 55417",3.5,114,town hall lanes,RESTAURANT,TOWN HALL LANES,5019 34TH AVE S,5019.0,34TH,AVE,S,Minneapolis,55417.0,2019,94,town hall lanes
256,I2X0Tdq9MzrJCdcMEfgnig,Dan Kelly's Pub,44.9756542593241,-93.269205763936,"212 S 7th St, Minneapolis 55402",4.0,82,dan kelly's pub,RESTAURANT,DAN KELLY'S PUB,212 7TH ST S,212.0,7TH,ST,S,Minneapolis,55402.0,2019,94,dan kelly's pub
257,nVJoUi1HRoFh1XyVHw1zRQ,Pad Ga Pow,44.9763031005859,-93.2744216918945,"811 LaSalle Ave, Minneapolis 55402",4.0,65,pad ga pow,RESTAURANT,PAD GA POW,811 LASALLE AVE #207,811.0,LASALLE,AVE,,Minneapolis,55402.0,2019,100,pad ga pow
258,umf9jGY6meGF15UDiR2oMA,Monte Carlo,44.98472,-93.27174,"219 3rd Ave N, Minneapolis 55401",3.0,233,monte carlo,RESTAURANT,MONTE CARLO,219 3RD AVE N,219.0,3RD,AVE,N,Minneapolis,55401.0,2019,96,monte carlo
259,8uZnSGgCH1eo1r81S_xOOg,Lake Harriet Pizza,44.9119615,-93.308501,"5009 Penn Ave S, Minneapolis 55419",4.0,68,lake harriet pizza,RESTAURANT,LAKE HARRIET PIZZA,5009 PENN AVE S,5009.0,PENN,AVE,S,Minneapolis,55419.0,2019,100,lake harriet pizza
260,B8fyalFXdxkXTh7_kiOrnQ,Tooties On Lowry,45.01344,-93.31495,"2706 Lowry Ave N, Minneapolis 55411",4.0,70,tooties on lowry,RESTAURANT,TOOTIES ON LOWRY,2706 LOWRY AVE N,2706.0,LOWRY,AVE,N,Minneapolis,55411.0,2019,94,tooties on lowry
261,EyJXDvOWyFxFJMhPwNyyfw,Sprout Salad Company,44.9781382,-93.2709224,"555 Nicollet Mall, Minneapolis 55402",4.0,56,sprout salad company,RESTAURANT,SPROUT SALAD COMPANY,555 NICOLLET MALL #295,555.0,NICOLLET MALL,,,Minneapolis,55402.0,2019,100,sprout salad company
262,EyJXDvOWyFxFJMhPwNyyfw,Sprout Salad Company,44.9781382,-93.2709224,"555 Nicollet Mall, Minneapolis 55402",4.0,56,sprout salad company,RESTAURANT,SPROUT SALAD COMPANY,309 HURON BLVD SE,309.0,HURON,BLVD,SE,Minneapolis,55414.0,2020,96,sprout salad company
263,KKI62PDF_mdJ-aFZDvGuCQ,Sprout Salad Company,44.972951,-93.223157,"309 Huron Blvd SE, Minneapolis 55414",4.0,51,sprout salad company,RESTAURANT,SPROUT SALAD COMPANY,555 NICOLLET MALL #295,555.0,NICOLLET MALL,,,Minneapolis,55402.0,2019,100,sprout salad company
264,KKI62PDF_mdJ-aFZDvGuCQ,Sprout Salad Company,44.972951,-93.223157,"309 Huron Blvd SE, Minneapolis 55414",4.0,51,sprout salad company,RESTAURANT,SPROUT SALAD COMPANY,309 HURON BLVD SE,309.0,HURON,BLVD,SE,Minneapolis,55414.0,2020,96,sprout salad company
265,B3I8gIURhsS4mKG_HVPcXg,Burrigato,44.979429,-93.234585,"314 15th Ave SE, Minneapolis 55414",4.0,53,burrigato,RESTAURANT,BURRIGATO,314 15TH AVE SE,314.0,15TH,AVE,SE,Minneapolis,55414.0,2018,96,burrigato
266,zU3KzPc19b7NuLgworja5g,McKinney Roe,44.9769606545093,-93.2625874131918,"530 S 4th St, Minneapolis 55415",3.5,110,mckinney roe,RESTAURANT,MCKINNEY ROE,530 4TH ST S #TRACT B,530.0,4TH,ST,S,Minneapolis,55415.0,2019,92,mckinney roe
267,6FrCprKhDWJCHu97209G_w,Legendary Spice,44.97237,-93.22304,"317 SE Huron Blvd, Minneapolis 55414",3.5,138,legendary spice,RESTAURANT,LEGENDARY SPICE,317 HURON BLVD SE,317.0,HURON,BLVD,SE,Minneapolis,55414.0,2019,84,legendary spice
268,kfqVni2b3GGq3g0a-_Dhjg,Holy Land Midtown,44.948894,-93.260942,"920 E Lake St, Minneapolis 55407",3.5,81,holy land midtown,MEAT MARKET,HOLY LAND MIDTOWN,920 LAKE ST E #145,920.0,LAKE,ST,E,Minneapolis,55407.0,2019,94,holy land midtown
269,hzkSLMts20FtN2E56tp_UQ,Andrea Pizza,44.9758720397949,-93.2744674682617,"811 Lasalle Ave, Minneapolis 55402",4.0,51,andrea pizza,RESTAURANT,ANDREA PIZZA,811 LASALLE AVE #SUITE 202,811.0,LASALLE,AVE,,Minneapolis,55402.0,2019,100,andrea pizza
270,hzkSLMts20FtN2E56tp_UQ,Andrea Pizza,44.9758720397949,-93.2744674682617,"811 Lasalle Ave, Minneapolis 55402",4.0,51,andrea pizza,RESTAURANT,ANDREA PIZZA,225 6TH ST S #A203,225.0,6TH,ST,S,Minneapolis,55402.0,2019,92,andrea pizza
271,Xawpkbx359DhPJ0p1Bke1w,Andrea Pizza,44.9765281677246,-93.2683868408203,"225 S 6th St, Minneapolis 55402",4.5,14,andrea pizza,RESTAURANT,ANDREA PIZZA,811 LASALLE AVE #SUITE 202,811.0,LASALLE,AVE,,Minneapolis,55402.0,2019,100,andrea pizza
272,Xawpkbx359DhPJ0p1Bke1w,Andrea Pizza,44.9765281677246,-93.2683868408203,"225 S 6th St, Minneapolis 55402",4.5,14,andrea pizza,RESTAURANT,ANDREA PIZZA,225 6TH ST S #A203,225.0,6TH,ST,S,Minneapolis,55402.0,2019,92,andrea pizza
273,h5wRik_Nm-d4WSbXSChGtQ,Marino's Deli,45.00935,-93.23737,"1946 Johnson St NE, Minneapolis 55418",4.0,60,marino's deli,RESTAURANT,MARINO'S DELI,1946 JOHNSON ST NE,1946.0,JOHNSON,ST,NE,Minneapolis,55418.0,2019,98,marino's deli
274,vOtz5Jx_GumbW-bFrvCJIA,Brim,44.948593,-93.304812,"2919 Knox Avenue St, Minneapolis 55408",4.0,48,brim,RESTAURANT,BRIM,2919 KNOX AVE S,2919.0,KNOX,AVE,S,Minneapolis,55408.0,2019,92,brim
275,ai9F5MlFxix6Ua-0IQNT7A,Esker Grove,44.968839142074,-93.2888591340642,"723 Vineland Pl, Minneapolis 55403",3.5,82,esker grove,RESTAURANT,ESKER GROVE,725 VINELAND PL,725.0,VINELAND,PL,,Minneapolis,55403.0,2019,100,esker grove
276,b26xEI9p-EQhWFvq2OVZ1w,Kiku Bistro,44.9512126297474,-93.2981756527642,"2819 Hennepin Ave, Minneapolis 55408",3.0,173,kiku bistro,RESTAURANT,KIKU BISTRO,2819 HENNEPIN AVE,2819.0,HENNEPIN,AVE,,Minneapolis,55408.0,2018,98,kiku bistro
277,Lx9tjknn2wCxY9oGy-SZ2g,Cajun Boiling,44.9628299,-93.27743,"1931 Nicollet Ave, Minneapolis 55403",3.5,89,cajun boiling,RESTAURANT,CAJUN BOILING,1931 NICOLLET AVE,1931.0,NICOLLET,AVE,,Minneapolis,55403.0,2019,96,cajun boiling
278,1zWbDlRoYahh562n-9EdwQ,Dumpling,44.9302024841309,-93.2215805053711,"4004 Minnehaha Ave, Minneapolis 55406",3.5,85,dumpling,RESTAURANT,DUMPLING,4004 MINNEHAHA AVE,4004.0,MINNEHAHA,AVE,,Minneapolis,55406.0,2018,100,dumpling
279,U4NEj0Tr2ySfqmDle0XlBw,Iron Door Pub,44.9481315612793,-93.2877578735352,"3001 Lyndale Ave S, Minneapolis 55408",3.5,93,iron door pub,RESTAURANT,IRON DOOR PUB,3001 LYNDALE AVE S,3001.0,LYNDALE,AVE,S,Minneapolis,55408.0,2018,94,iron door pub
280,ZWju8u84sscQ8IttHqj16A,Hot Indian Foods,44.9485289,-93.2607688,"920 E Lake St, Minneapolis 55407",3.5,78,hot indian foods,RESTAURANT,HOT INDIAN FOODS,121 8TH ST S #STE 242,121.0,8TH,ST,S,Minneapolis,55402.0,2018,96,hot indian foods
281,ZWju8u84sscQ8IttHqj16A,Hot Indian Foods,44.9485289,-93.2607688,"920 E Lake St, Minneapolis 55407",3.5,78,hot indian foods,FOOD TRUCK,HOT INDIAN FOODS,920 LAKE ST E #124,920.0,LAKE,ST,E,Minneapolis,55407.0,2019,96,hot indian foods
282,pbM1dhUHUn5UrFIYLThd7A,Chatterbox Pub,44.93937,-93.23911,"2229 E 35th St, Minneapolis 55407",3.0,180,chatterbox pub,RESTAURANT,CHATTERBOX PUB,2229 35TH ST E,2229.0,35TH,ST,E,Minneapolis,55407.0,2019,96,chatterbox pub
283,g45polCAN-EZY_P-pWaOdA,The Sheridan Room,45.001066,-93.262707,"337 13th Ave NE, Minneapolis 55413",3.5,77,the sheridan room,RESTAURANT,THE SHERIDAN ROOM,337 13TH AVE NE,337.0,13TH,AVE,NE,Minneapolis,55413.0,2020,94,the sheridan room
284,KHSGC1jHok8B0k1P27PZHw,Thai Cuisine Xpress,44.9879297652504,-93.2300797797623,"1517 Como Ave SE, Minneapolis 55414",4.0,40,thai cuisine xpress,RESTAURANT,THAI CUISINE XPRESS,1517 COMO AVE SE,1517.0,COMO,AVE,SE,Minneapolis,55414.0,2019,100,thai cuisine xpress
285,wPblCcFNLmETN_RO0v7xxw,Tony's Diner,44.9809893,-93.2366608,"1327 4th St SE, Minneapolis 55414",3.5,82,tony's diner,RESTAURANT,TONY'S DINER,1327 4TH ST SE,1327.0,4TH,ST,SE,Minneapolis,55414.0,2019,98,tony's diner
286,m-1nJOOMzuObL7Zt-O_tyA,Linden Hills Co-op,44.9219512939453,-93.3284454345703,"3815 Sunnyside Ave, Minneapolis 55410",4.0,51,linden hills co-op,RESTAURANT,LINDEN HILLS CO-OP,3815 SUNNYSIDE AVE,3815.0,SUNNYSIDE,AVE,,Minneapolis,55410.0,2018,100,linden hills co-op
287,WvgAuJo6rUM1_I2sVDEzyg,Snack Bar,44.9896,-93.2786408,"800 N Washington Ave, Minneapolis 55401",4.5,23,snack bar,RESTAURANT,SNACK BAR,800 WASHINGTON AVE N #101,800.0,WASHINGTON,AVE,N,Minneapolis,55401.0,2019,80,snack bar
288,h8nelczCxICtX_aRsVlqVQ,Whole Sum Kitchen,44.9124484,-93.2906016,"824 West 50th St, Minneapolis 55419",4.0,58,whole sum kitchen,RESTAURANT,WHOLE SUM KITCHEN,824 50TH ST W,824.0,50TH,ST,W,Minneapolis,55419.0,2019,100,whole sum kitchen
289,GN4BVQMDrXCFhkzcsu0aXg,Saigon Uptown Restaurant,44.9471817,-93.2876816,"3035 Lyndale Ave S, Minneapolis 55408",4.0,68,saigon uptown restaurant,RESTAURANT,SAIGON UPTOWN RESTAURANT,3035 LYNDALE AVE S,3035.0,LYNDALE,AVE,S,Minneapolis,55408.0,2018,94,saigon uptown restaurant
290,7K_XbZAxf4hXZz2p8-S1fA,Dave The Pie Guy,44.93798,-93.28469,"3544 Grand Ave, Minneapolis 55104",4.0,40,dave the pie guy,RESTAURANT,DAVE THE PIE GUY,3544 GRAND AVE S,3544.0,GRAND,AVE,S,Minneapolis,55408.0,2019,96,dave the pie guy
291,AGLEr0UOLDJZVRCN6VJ8bw,Fresh Wok,44.91927085373,-93.278506788355,"4610 Nicollet Ave S, Minneapolis 55419",3.5,102,fresh wok,RESTAURANT,FRESH WOK,4610 NICOLLET AVE,4610.0,NICOLLET,AVE,,Minneapolis,55419.0,2018,96,fresh wok
